Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0805_2012Metric,141.2025,-111.76,0.0,top
C2,10nF,C_0805_2012Metric,156.4425,-111.76,180.0,top
D1,TSAL6200,LEDRD254W55D595H900,122.535,-95.5975,90.0,top
D3,TSAL6200,LEDRD254W55D595H900,153.3225,-92.39,0.0,top
D4,TSAL6200,LEDRD254W55D595H900,177.8,-96.8675,90.0,top
J2,Conn_02x14_Odd_Even,JST_PHD_B28B-PHDSS_2x14_P2.00mm_Vertical,149.2425,-122.92,180.0,top
Q1,MMBT5551,SOT23-3,127.0,-99.06,0.0,top
Q2,MMBT5551,SOT23-3,153.35,-98.06,-90.0,top
Q3,MMBT5551,SOT23-3,171.18,-100.65,180.0,top
Q4,TEFT4300,XDCR_TEFT4300,121.265,-101.8875,90.0,top
Q5,TEFT4300,XDCR_TEFT4300,145.7625,-92.39,0.0,top
Q6,TEFT4300,XDCR_TEFT4300,180.34,-102.5825,-90.0,top
R1,220,R_0805_2012Metric,129.54,-91.44,90.0,top
R2,100,R_0805_2012Metric,127.0,-102.6,90.0,top
R3,10k,R_0805_2012Metric,129.54,-102.6,90.0,top
R4,100,R_0805_2012Metric,149.86,-99.06,0.0,top
R5,10k,R_0805_2012Metric,152.4,-102.6,-90.0,top
R7,220,R_0805_2012Metric,157.48,-96.52,90.0,top
R8,100,R_0805_2012Metric,167.64,-96.52,-90.0,top
R9,10k,R_0805_2012Metric,167.64,-100.6,-90.0,top
R10,220,R_0805_2012Metric,172.72,-94.98,90.0,top
R11,10k,R_0805_2012Metric,123.535,-106.68,0.0,top
R12,10k,R_0805_2012Metric,142.24,-96.52,0.0,top
R13,10k,R_0805_2012Metric,179.34,-109.22,180.0,top
TP1,TestPoint,TestPoint_Pad_1.0x1.0mm,139.7,-116.84,0.0,top
TP2,TestPoint,TestPoint_Pad_1.0x1.0mm,149.86,-116.84,0.0,top
TP3,TestPoint,TestPoint_Pad_1.0x1.0mm,160.02,-116.84,0.0,top
TP4,TestPoint,TestPoint_Pad_1.0x1.0mm,127.0,-92.71,0.0,top
TP5,TestPoint,TestPoint_Pad_1.0x1.0mm,127.0,-96.52,0.0,top
TP6,TestPoint,TestPoint_Pad_1.0x1.0mm,160.02,-91.44,0.0,top
TP7,TestPoint,TestPoint_Pad_1.0x1.0mm,160.02,-93.98,0.0,top
TP8,TestPoint,TestPoint_Pad_1.0x1.0mm,175.26,-104.14,-90.0,top
TP9,TestPoint,TestPoint_Pad_1.0x1.0mm,172.72,-106.68,0.0,top
